Interval,Josquin,La Rue,MTLR - In Nomine,MTLR - Benedictus,Crucifixus,Le Renvoye
-8,0.003924989097,0.0005546311703,0,0,0,0.03550295858
-7,0.001308329699,0,0,0,0,0.02366863905
-6,0.01221107719,0.0008319467554,0,0,0,0.05325443787
-5,0.01439162669,0.003327787022,0,0,0,0.02958579882
-4,0.003052769298,0.001109262341,0,0,0.04651162791,0.03550295858
-3,0.06061927606,0.01331114809,0.09523809524,0.01818181818,0.1046511628,0.1952662722
-2,0.007413868295,0.0002773155851,0.02380952381,0,0,0.01183431953
1,0.05669428696,0.04963948974,0.02380952381,0.05454545455,0.04651162791,0.05325443787
2,0.02049716529,0.02301719357,0.02380952381,0.05454545455,0.02325581395,0.02366863905
3,0.2368076755,0.193843594,0.09523809524,0.2727272727,0.1511627907,0.1538461538
4,0.02354993458,0.02911813644,0.02380952381,0.01818181818,0,0.02958579882
5,0.1338857392,0.1272878536,0.09523809524,0.07272727273,0.1395348837,0.08284023669
6,0.1692106411,0.2157515252,0.2857142857,0.1090909091,0.1860465116,0.08875739645
7,0.02136938509,0.04353854687,0.04761904762,0.03636363636,0.09302325581,0.01183431953
8,0.07631923245,0.09844703272,0.04761904762,0.1090909091,0.1162790698,0.07100591716
9,0.005669428696,0.006932889628,0,0,0,0
10,0.02442215438,0.05574043261,0.1428571429,0.05454545455,0.01162790698,0.01775147929
11,0.003052769298,0.001663893511,0,0,0,0
12,0.006541648495,0.005546311703,0,0,0,0
13,0,0.001109262341,0,0,0,0